CBSA Code,CBSA,# Days with AQI,Good,Moderate,Unhealthy for Sensitive Groups,Unhealthy,Very Unhealthy,Hazardous,AQI Maximum,AQI 90th Percentile,AQI Median,# Days CO,# Days NO2,# Days O3,# Days PM2.5,# Days PM10
22380,"Flagstaff, AZ",181,128,52,1,.,.,.,101,71,46,.,.,181,.,.
29420,"Lake Havasu City-Kingman, AZ",181,166,14,1,.,.,.,115,40,18,.,.,.,.,181
35700,"Nogales, AZ",178,132,46,.,.,.,.,93,65,39.5,.,.,.,140,38
37740,"Payson, AZ",181,110,59,10,2,.,.,177,87,48,.,.,164,.,17
38060,"Phoenix-Mesa-Scottsdale, AZ",212,39,115,40,12,6,.,264,147,67,.,.,159,4,49
39140,"Prescott, AZ",181,161,20,.,.,.,.,87,51,42,.,.,181,.,.
43320,"Show Low, AZ",179,148,31,.,.,.,.,93,61,44,.,.,179,.,.
43420,"Sierra Vista-Douglas, AZ",181,130,51,.,.,.,.,88,67,47,.,.,162,.,19
46060,"Tucson, AZ",182,96,81,5,.,.,.,142,80,50,1,.,111,16,54
49740,"Yuma, AZ",181,98,75,8,.,.,.,142,87,49,.,.,106,27,48
11260,"Anchorage, AK",181,144,37,.,.,.,.,95,62,28,.,.,.,90,91
21820,"Fairbanks, AK",143,99,37,5,2,.,.,160,75,39,3,.,53,64,23
27940,"Juneau, AK",73,68,5,.,.,.,.,67,26,14,.,.,.,73,.
13820,"Birmingham-Hoover, AL",120,77,42,1,.,.,.,101,65,44.5,.,.,53,67,.
17980,"Columbus, GA-AL",212,167,43,2,.,.,.,149,61,42.5,.,.,108,104,.
19300,"Daphne-Fairhope-Foley, AL",80,73,7,.,.,.,.,87,50,39,.,.,58,22,.
19460,"Decatur, AL",120,100,20,.,.,.,.,93,54,40,.,.,48,72,.
22840,"Fort Payne, AL",151,139,12,.,.,.,.,97,49,38,.,.,143,8,.
23460,"Gadsden, AL",117,94,23,.,.,.,.,93,56,41,.,.,40,77,.
26620,"Huntsville, AL",90,75,15,.,.,.,.,97,56,35,.,.,23,63,4
33660,"Mobile, AL",119,99,20,.,.,.,.,93,54,40,.,.,43,76,.
33860,"Montgomery, AL",120,98,22,.,.,.,.,95,58,41,.,.,50,70,.
46220,"Tuscaloosa, AL",78,68,10,.,.,.,.,71,54,37.5,.,.,59,19,.
16260,"Cedar City, UT",212,171,41,.,.,.,.,80,58,44,.,10,191,11,.
30860,"Logan, UT-ID",212,147,63,2,.,.,.,111,68,44,.,.,145,67,.
36260,"Ogden-Clearfield, UT",213,121,89,3,.,.,.,122,84,47,1,6,157,45,4
39220,"Price, UT",211,178,33,.,.,.,.,74,54,44,.,1,201,9,.
39340,"Provo-Orem, UT",213,141,71,1,.,.,.,119,71,46,1,3,149,50,10
41100,"St. George, UT",212,154,58,.,.,.,.,97,67,45,.,.,202,10,.
41620,"Salt Lake City, UT",213,106,94,13,.,.,.,147,97,51,1,14,128,61,9
46860,"Vernal, UT",212,158,54,.,.,.,.,93,61,46,.,.,209,3,.
